timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2024-02-06 21:36:15.456111,-0.2414421942770562,20805.67730639055,22044.29763111281,-0.0011043565966232,0.000964027534074,0.0010694464258106,-9.5e-05,Low,True
2024-02-07 00:06:07.231411,-0.2414421942770562,20805.67730639055,20805.67730639055,-0.0011043565966232,0.0009039377048865,0.0010093565966232,-9.5e-05,Low,False
2024-02-07 02:36:07.298185,-,13991.053148403034,,,,,-,,reselected
2024-02-07 02:36:07.305186,-0.12657927941414138,9976.057104370346,13991.053148403034,-0.0005789736240402,0.0006234879510031,0.0006787552061431,-9.5e-05,Low,True
2024-02-07 05:06:07.358959,-0.12657927941414138,9976.057104370346,9976.057104370346,-0.0005789736240402,0.0004287063689003,0.0004839736240402,-9.5e-05,Low,True
2024-02-07 07:36:14.748153,-0.020079749005692538,9795.339363319114,9976.057104370346,-9.184477195203766e-05,0.0004752063706905,0.0004839736240402,-9.184477195203766e-05,No,False
2024-02-07 10:06:07.275496,-0.020079749005692538,9614.62162226788,9795.339363319114,-9.184477195203766e-05,0.0004664391173409,0.0004752063706905,-9.184477195203766e-05,No,False
2024-02-07 12:36:14.412675,0.06302326779710143,10181.831032441793,9614.62162226788,0.0002882684269039,0.0004939564411653,0.0004664391173409,0.00028826842690394194,No,False
2024-02-07 15:06:07.342041,0.06302326779710143,10749.040442615706,10181.831032441793,0.0002882684269039,0.0005214737649897,0.0004939564411653,0.00028826842690394194,No,False
2024-02-07 17:36:15.515279,0.06295516275187973,11315.636907382624,10749.040442615706,0.000287956914427,0.0005489613526761,0.0005214737649897,0.0002879569144270979,No,False
2024-02-07 20:06:07.167572,-0.0026408661553398716,11291.869111984566,11315.636907382624,-1.2079321794524572e-05,0.0005478082933107,0.0005489613526761,-1.2079321794524572e-05,No,False
2024-02-07 22:36:07.194344,-0.0026408661553398716,11268.101316586508,11291.869111984566,-1.2079321794524572e-05,0.0005466552339453209,0.0005478082933107496,-1.2079321794524572e-05,No,False
