active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,on_minutes_tot,on_seconds_ini,off_seconds_ini,Timestamp_control
Follower,0.0733688103697622,-0.2414421942770562,0.1914421942770562,0.1414421942770561,-9.5e-05,0,0,9000.0,2024-02-07 00:06:07.242412
Follower,0.050950482802464,-0.1265792794141413,0.0765792794141413,0.0265792794141412,-9.5e-05,0,0,9000.0,2024-02-07 02:36:07.326187
Follower,0.0654769875425331,-0.1265792794141413,0.0765792794141413,0.0265792794141412,-9.5e-05,0,0,9000.0,2024-02-07 05:06:07.379961
Header,0.0573511419267448,-0.0200797490056925,-0.0299202509943075,-0.0799202509943075,7.799755302037299e-05,2,60,4440.0,2024-02-07 07:36:14.770154
Header,0.0265342455509591,0.0630232677971014,-0.1130232677971014,-0.1630232677971015,3.6086573949304485e-05,1,60,8940.0,2024-02-07 12:36:14.424675
Header,0.0447589911269483,0.0630232677971014,-0.1130232677971014,-0.1630232677971015,6.087222793264978e-05,2,60,4440.0,2024-02-07 15:06:07.354041
Header,-0.0850610234134972,0.0629551627518797,-0.1129551627518797,-0.1629551627518798,-9.5e-05,0,0,9000.0,2024-02-07 17:36:15.529280
Header,-0.0835012895207327,-0.0026408661553398,-0.0473591338446601,-0.0973591338446602,-9.5e-05,0,0,9000.0,2024-02-07 20:06:07.190573
Header,-0.09094772773214321,-0.0026408661553398716,-0.04735913384466017,-0.09735913384466022,-9.5e-05,0,0,9000.0,2024-02-07 22:36:07.219345
