active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,on_minutes_tot,on_seconds_ini,off_seconds_ini,Timestamp_control
Header,0.0753675846917925,0.1134501233499314,-0.1634501233499314,-0.2134501233499315,0.0001507351693835,3,60,2940,2024-02-12 00:06:09.128506
Header,0.0117587820458444,0.0863204223712156,-0.1363204223712156,-0.1863204223712157,2.351756409168881e-05,1,60,8940,2024-02-12 02:36:07.407178
Header,0.0609141014324992,0.0866782225655409,-0.1366782225655409,-0.186678222565541,0.0001218282028649,2,60,4440,2024-02-12 05:06:07.455952
Header,0.03697494604657686,0.07130031537982418,-0.12130031537982422,-0.17130031537982426,7.394989209315372e-05,2,60,4440,2024-02-12 07:36:07.375718
