timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2024-02-06 21:36:15.453111,0.0648934090151628,20808.651168983542,20224.61048784708,8.825503626062153e-05,0.0001956511544883,0.0001901597733986,8.825503626062153e-05,No,False
2024-02-07 00:06:07.228411,0.0733688103697622,21468.9704623114,20808.651168983542,9.978158210287664e-05,0.0002018597372082,0.0001956511544883,9.978158210287664e-05,No,False
2024-02-07 02:36:07.302186,0.050950482802464,21927.524807533577,21468.9704623114,6.929265661135112e-05,0.0002061712462199,0.0002018597372082,6.929265661135112e-05,No,False
2024-02-07 05:06:07.355959,0.0654769875425331,22516.81769541637,21927.524807533577,8.904870305784505e-05,0.0002117120106313,0.0002061712462199,8.904870305784505e-05,No,False
2024-02-07 07:36:14.740152,-,-18399.30739638149,,,,,-,,reselected
2024-02-07 07:36:14.744152,0.05735114192674484,-17883.147119040786,-18399.30739638149,7.799755302037299e-05,-0.0001681444102893,-0.0001729975530203,7.799755302037299e-05,No,True
2024-02-07 10:06:07.271496,0.02035652968813706,-17699.93835184755,-17883.147119040786,2.7684880375866403e-05,-0.0001664218091211,-0.0001681444102893,2.7684880375866403e-05,No,True
2024-02-07 12:36:14.408674,0.02653424555095918,-17461.13014188892,-17699.93835184755,3.6086573949304485e-05,-0.0001641764400387,-0.0001664218091211,3.6086573949304485e-05,No,True
2024-02-07 15:06:07.339041,0.044758991126948366,-17058.299221746383,-17461.13014188892,6.087222793264978e-05,-0.0001603888646717,-0.0001641764400387,6.087222793264978e-05,No,True
2024-02-07 17:36:15.512279,-0.08506102341349725,2199.757847092485,-17058.299221746383,-0.0001156829918423,-0.0001675868606244,-0.0001603888646717,-9.5e-05,Low,True
2024-02-07 20:06:07.163572,-0.08350128952073271,1974.151697907451,2199.757847092485,-0.0001135617537481,1.3616982994884069e-05,2.068299184235627e-05,-9.5e-05,Low,True
2024-02-07 22:36:07.190344,-0.09094772773214321,3051.234306558712,1974.151697907451,-0.00012368890971571479,1.0865615730432652e-05,1.8561753748196495e-05,-9.5e-05,Low,True
