active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,on_minutes_tot,on_seconds_ini,off_seconds_ini,Timestamp_control
Header,-0.0383903660164598,-0.050184149406844,0.0001841494068439,-0.049815850593156,0.0001517029502613,3,60,2940.0,2024-02-05 00:36:07.257353
Header,-0.0342276027031004,-0.0634921341977187,0.0134921341977186,-0.0365078658022813,0.0001544679154505,3,60,2940.0,2024-02-05 03:06:07.219121
Header,-0.0569966912735019,-0.0662972134716981,0.0162972134716981,-0.0337027865283019,0.0001186788064287,2,60,4440.0,2024-02-05 05:36:07.314897
Header,-0.0394726379452585,-0.0662972134716981,0.0162972134716981,-0.0337027865283019,0.0001391712830072,2,60,4440.0,2024-02-05 08:06:07.249664
Header,-0.0298170579018357,-0.0639530167878787,0.0139530167878787,-0.0360469832121213,0.0001497797061026,3,60,2940.0,2024-02-05 10:36:07.251435
Header,0.0193627546064594,-0.0639530167878787,0.0139530167878787,-0.0360469832121213,0.0002183027574908,3,60,2940.0,2024-02-05 13:06:07.277207
Header,-0.0308084937622529,-0.060408802717349,0.010408802717349,-0.039591197282651,0.0001474627971029,3,60,2940.0,2024-02-05 15:36:10.443784
Follower,-0.0239286507225007,-0.2329104960901856,0.1829104960901856,0.1329104960901855,4.576902959392624e-05,1,60,8940.0,2024-02-05 18:06:13.447784
Follower,0.114843219819761,-0.2329104960901856,0.1829104960901856,0.1329104960901855,-5.592473791504759e-05,0,0,9000.0,2024-02-05 20:36:07.277784
Follower,0.08755088661504962,-0.2491037569258313,0.19910375692583127,0.14910375692583122,-9.5e-05,0,0,9000.0,2024-02-05 23:06:07.292784
