Timestamp;Setpoint1;Setpoint2;TresholdLow;TresholdHigh
06/01/2024 14:00;0.373644875;0.814834862;0.864834862;0.914834862
06/01/2024 15:00;0.373837255;0.814834862;0.864834862;0.914834862
06/01/2024 16:00;0.374028936;0.814834862;0.864834862;0.914834862
06/01/2024 17:00;0.374193685;0.814834862;0.864834862;0.914834862
06/01/2024 18:00;0.374333693;0.814834862;0.864834862;0.914834862
06/01/2024 19:00;0.374444535;0.814834862;0.864834862;0.914834862
06/01/2024 20:00;0.374537712;0.814834862;0.864834862;0.914834862
06/01/2024 21:00;0.374614952;0.814834862;0.864834862;0.914834862
06/01/2024 22:00;0.374681687;0.814834862;0.864834862;0.914834862
06/01/2024 23:00;0.374739204;0.814834862;0.864834862;0.914834862
07/01/2024 00:00;0.374792264;0.814834862;0.864834862;0.914834862
07/01/2024 01:00;0.374837757;0.814834862;0.864834862;0.914834862
07/01/2024 02:00;0.374876346;0.814834862;0.864834862;0.914834862
07/01/2024 03:00;0.374909069;0.814834862;0.864834862;0.914834862
07/01/2024 04:00;0.374937016;0.814834862;0.864834862;0.914834862
07/01/2024 05:00;0.374960311;0.814834862;0.864834862;0.914834862
07/01/2024 06:00;0.374979938;0.814834862;0.864834862;0.914834862
07/01/2024 07:00;0.374996301;0.814834862;0.864834862;0.914834862
07/01/2024 08:00;0.375009641;0.814834862;0.864834862;0.914834862
07/01/2024 09:00;0.375020528;0.814834862;0.864834862;0.914834862
07/01/2024 10:00;0.375029015;0.814834862;0.864834862;0.914834862
07/01/2024 11:00;0.37503557;0.814834862;0.864834862;0.914834862
07/01/2024 12:00;0.375040319;0.814834862;0.864834862;0.914834862
07/01/2024 13:00;0.375043479;0.814834862;0.864834862;0.914834862
07/01/2024 14:00;0.375045222;0.814834862;0.864834862;0.914834862
07/01/2024 15:00;0.375045728;0.814834862;0.864834862;0.914834862
07/01/2024 16:00;0.375045161;0.814834862;0.864834862;0.914834862
07/01/2024 17:00;0.375043606;0.814834862;0.864834862;0.914834862
07/01/2024 18:00;0.375041149;0.814834862;0.864834862;0.914834862
07/01/2024 19:00;0.375037931;0.814834862;0.864834862;0.914834862
07/01/2024 20:00;0.375033981;0.814834862;0.864834862;0.914834862
07/01/2024 21:00;0.375029423;0.814834862;0.864834862;0.914834862
07/01/2024 22:00;0.37502432;0.814834862;0.864834862;0.914834862
07/01/2024 23:00;0.375018708;0.814834862;0.864834862;0.914834862
08/01/2024 00:00;0.375012668;0.814834862;0.864834862;0.914834862
08/01/2024 01:00;0.375006222;0.814834862;0.864834862;0.914834862
08/01/2024 02:00;0.374999442;0.814834862;0.864834862;0.914834862
08/01/2024 03:00;0.374992351;0.814834862;0.864834862;0.914834862
08/01/2024 04:00;0.37498499;0.814834862;0.864834862;0.914834862
08/01/2024 05:00;0.374977397;0.814834862;0.864834862;0.914834862
08/01/2024 06:00;0.374969587;0.814834862;0.864834862;0.914834862
08/01/2024 07:00;0.374961604;0.814834862;0.864834862;0.914834862
08/01/2024 08:00;0.374953458;0.814834862;0.864834862;0.914834862
08/01/2024 09:00;0.374945178;0.814834862;0.864834862;0.914834862
