Timestamp;2T1 [°C];2Q1 [pH];2S1 [1/min];2X1 [Ncm];2T4 [°C];2F1.1 [L/h];2F1.2 [L];2X11F1 [L];2X11Q1 [V% O2];2X11Q2 [V% CO2];2X11Q3 [V% CH4];2X11Q4 [ppm H2S];2V1;2V2;2R1;2H1;2L1;2P2;2P3;2P4;2P5;2V30+;2V31;Start Probenahme;Analysis time
24.11.2023 00:00:25;40.08;7.29;120.00;25.80;37.70;4.20;331.56;1.67;0.00;56.90;40.60;207.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:01:25;40.01;7.29;120.00;25.40;37.80;1.65;331.57;1.68;0.00;56.90;40.60;207.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:02:25;39.97;7.30;120.00;26.20;37.90;0.60;331.58;1.69;0.00;56.90;40.60;207.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:03:25;39.88;7.30;120.00;26.80;37.90;0.45;331.59;1.70;0.00;56.90;40.60;207.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:04:25;39.86;7.29;0.00;0.00;37.90;0.30;331.59;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:05:25;39.86;7.31;0.00;0.00;37.90;0.00;331.59;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:06:25;39.86;7.30;0.00;0.00;37.80;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:07:26;39.85;7.30;0.00;0.00;37.70;0.15;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:08:26;39.86;7.31;0.00;0.00;37.70;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:09:26;39.86;7.29;0.00;0.00;37.60;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:10:26;39.86;7.30;0.00;0.00;37.50;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:11:26;39.86;7.31;0.00;0.00;37.50;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:12:26;39.86;7.30;0.00;0.00;37.40;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:13:26;39.86;7.30;0.00;0.00;37.30;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:14:26;39.86;7.31;0.00;0.00;37.30;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
24.11.2023 00:15:26;39.85;7.29;0.00;0.00;37.20;0.00;331.60;1.70;0.00;56.90;40.60;207.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.11.2023 21:04:10;23.11.2023 21:02:56
