Timestamp;2T1 [°C];2Q1 [pH];2S1 [1/min];2X1 [Ncm];2T4 [°C];2F1.1 [L/h];2F1.2 [L];2X11F1 [L];2X11Q1 [V% O2];2X11Q2 [V% CO2];2X11Q3 [V% CH4];2X11Q4 [ppm H2S];2V1;2V2;2R1;2H1;2L1;2P2;2P3;2P4;2P5;2V30+;2V31;Start Probenahme;Analysis time
05.03.2024 00:00:20;42.81;7.30;0.00;0.00;44.40;0.45;242.48;1.64;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:01:20;42.85;7.30;120.00;24.40;44.70;0.90;242.55;1.72;0.00;45.10;50.10;134.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:02:20;42.82;7.29;120.00;26.50;43.90;7.05;242.63;1.80;0.00;45.10;50.10;134.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:03:21;42.80;7.30;120.00;24.90;44.60;2.85;242.67;1.83;0.00;45.10;50.10;134.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:04:21;42.81;7.30;120.00;25.10;44.80;1.50;242.69;1.85;0.00;45.10;50.10;134.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:05:21;42.80;7.30;120.00;24.50;44.30;0.90;242.70;1.87;0.00;45.10;50.10;134.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:06:21;42.80;7.29;0.00;0.00;45.00;0.60;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:07:21;42.80;7.30;0.00;0.00;44.20;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:08:21;42.79;7.29;0.00;0.00;45.00;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:09:21;42.81;7.29;0.00;0.00;44.30;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:10:21;42.80;7.29;0.00;0.00;45.10;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:11:21;42.81;7.29;0.00;0.00;44.70;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:12:21;42.80;7.29;0.00;0.00;44.10;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:13:22;42.81;7.30;0.00;0.00;44.90;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:14:22;42.80;7.30;0.00;0.00;44.30;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:15:22;42.80;7.30;0.00;0.00;44.80;0.00;242.71;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:16:22;42.83;7.29;0.00;0.00;44.60;0.30;242.72;1.88;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:17:22;42.81;7.30;0.00;0.00;44.00;0.60;242.73;1.89;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:18:22;42.76;7.29;0.00;0.00;44.80;0.60;242.74;1.91;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:19:22;42.73;7.29;0.00;0.00;44.30;0.75;242.75;1.92;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:20:22;42.78;7.29;0.00;0.00;45.00;1.05;242.77;1.93;0.00;45.10;50.10;134.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
05.03.2024 00:21:22;42.82;7.30;120.00;25.00;44.50;1.20;242.83;2.00;0.00;45.10;50.10;134.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.2024 22:03:42;04.03.2024 22:02:31
