Timestamp;2T1 [°C];2Q1 [pH];2S1 [1/min];2X1 [Ncm];2T4 [°C];2F1.1 [L/h];2F1.2 [L];2X11F1 [L];2X11Q1 [V% O2];2X11Q2 [V% CO2];2X11Q3 [V% CH4];2X11Q4 [ppm H2S];2V1;2V2;2R1;2H1;2L1;2P2;2P3;2P4;2P5;2V30+;2V31;Start Probenahme;Analysis time
14.01.2024 00:00:03;42.52;7.52;0.00;0.00;44.70;0.00;87.22;2.76;0.03;46.80;51.70;99.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:01:03;42.52;7.51;0.00;0.00;44.50;0.00;87.22;2.76;0.03;46.80;51.70;99.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:02:03;42.55;7.51;0.00;0.00;44.70;0.00;87.22;2.76;0.03;46.80;51.70;99.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:03:03;42.59;7.51;0.00;0.00;44.50;0.15;87.22;2.76;0.03;46.80;51.70;99.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:04:03;42.55;7.50;0.00;0.00;44.80;0.00;87.22;2.76;0.03;46.80;51.70;99.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:05:04;42.54;7.51;0.00;0.00;44.50;0.45;87.23;2.77;0.03;46.80;51.70;99.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:06:04;42.51;7.52;0.00;0.00;44.50;0.45;87.24;2.77;0.03;46.80;51.70;99.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:07:04;42.54;7.51;120.00;27.10;44.50;6.30;87.35;2.88;0.03;46.80;51.70;99.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:08:04;42.52;7.51;120.00;25.70;45.00;2.70;87.39;2.93;0.03;46.80;51.70;99.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
14.01.2024 00:09:04;42.50;7.51;120.00;25.40;43.90;1.65;87.42;2.96;0.03;46.80;51.70;99.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.01.2024 20:01:02;13.01.2024 19:56:25
