Timestamp;2T1 [°C];2Q1 [pH];2S1 [1/min];2X1 [Ncm];2T4 [°C];2F1.1 [L/h];2F1.2 [L];2X11F1 [L];2X11Q1 [V% O2];2X11Q2 [V% CO2];2X11Q3 [V% CH4];2X11Q4 [ppm H2S];2V1;2V2;2R1;2H1;2L1;2P2;2P3;2P4;2P5;2V30+;2V31;Start Probenahme;Analysis time
17.03.2024 00:00:19;42.84;7.37;0.00;0.00;45.00;0.90;486.02;2.46;0.00;41.50;54.90;142.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:01:19;42.84;7.37;0.00;0.00;44.40;1.35;486.04;2.49;0.00;41.50;54.90;142.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:02:19;42.83;7.38;0.00;0.00;43.90;0.90;486.06;2.50;0.00;41.50;54.90;142.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:03:19;42.91;7.36;120.00;23.90;44.90;0.60;486.09;2.53;0.00;41.50;54.90;142.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:04:19;42.85;7.35;120.00;28.10;44.10;6.45;486.20;2.63;0.00;41.50;54.90;142.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:05:19;42.83;7.36;120.00;26.20;44.90;2.85;486.23;2.67;0.00;41.50;54.90;142.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:06:19;42.82;7.37;120.00;25.20;44.10;1.65;486.26;2.69;0.00;41.50;54.90;142.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:07:19;42.84;7.36;120.00;26.70;44.80;1.80;486.29;2.72;0.00;41.50;54.90;142.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:08:20;42.84;7.36;0.00;0.00;44.00;1.35;486.30;2.73;0.00;41.50;54.90;142.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
17.03.2024 00:09:20;42.84;7.36;0.00;0.00;44.70;0.00;486.30;2.73;0.00;41.50;54.90;142.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.03.2024 20:54:30;16.03.2024 20:52:51
