Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-06-07 00:00:00,0.05454,589.033,0,4e-05,0,0,4e-05,No,True
2025-06-07 03:00:00,0.03284,943.722,589.033,2e-05,0,0,2e-05,No,True
2025-06-07 06:00:00,0.11057,2137.9,943.722,8e-05,1e-05,0,8e-05,No,True
2025-06-07 09:00:00,0.05461,2727.68,2137.9,4e-05,1e-05,1e-05,4e-05,No,True
2025-06-07 12:00:00,-0.28659,20395.8,2727.68,-0.00019,-0,1e-05,-0.0001,Low,True
2025-06-07 15:00:00,-0.38455,34564,20395.8,-0.00026,8e-05,0.0001,-0.0001,Low,True
2025-06-07 18:00:00,-0.03211,34217.2,34564,-2e-05,0.00016,0.00016,-2e-05,No,False
2025-06-07 21:00:00,0.09974,35294.4,34217.2,7e-05,0.00017,0.00016,7e-05,No,True
