Timestamp,active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,tot_on_periods,on_seconds_ini,off_seconds_ini
2025-05-26 00:00:00,Header,0.11893,-0.01147,-0.03853,-0.08853,180.869,4,20,2680
2025-05-26 03:00:00,Header,0.04318,-0.01147,-0.03853,-0.08853,129.361,3,20,3580
2025-05-26 06:00:00,Header,0.04479,-0.01147,-0.03853,-0.08853,130.457,3,20,3580
2025-05-26 09:00:00,Header,0.02985,0.05946,-0.10946,-0.15946,120.298,2,20,5380
2025-05-26 12:00:00,Header,-0.21365,0.05946,-0.10946,-0.15946,1,0,0,10800
2025-05-26 15:00:00,Header,-0.21017,-0.0139,-0.0361,-0.0861,1,0,0,10800
2025-05-26 18:00:00,Header,-0.04976,-0.0139,-0.0361,-0.0861,66.1652,1,20,10780
2025-05-26 21:00:00,Header,0.05572,-0.09655,0.04655,-0.00345,137.891,3,20,3580
