Timestamp,active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,tot_on_periods,on_seconds_ini,off_seconds_ini
2025-06-05 00:00:00,Follower,0.13269,-0.14191,0.09191,0.04191,1,0,0,10800
2025-06-05 03:00:00,Header,0.13078,0.04119,-0.09119,-0.14119,188.931,4,20,2680
2025-06-05 06:00:00,Header,0.05048,0.04119,-0.09119,-0.14119,134.323,3,20,3580
2025-06-05 09:00:00,Header,0.02417,0.08614,-0.13614,-0.18614,116.434,2,20,5380
2025-06-05 12:00:00,Header,-0.29008,0.08614,-0.13614,-0.18614,1,0,0,10800
2025-06-05 15:00:00,Header,-0.35947,0.00198,-0.05198,-0.10198,1,0,0,10800
2025-06-05 18:00:00,Follower,-0.0526,-0.10833,0.05833,0.00833,1,0,0,10800
2025-06-05 21:00:00,Follower,0.0745,-0.10833,0.05833,0.00833,1,0,0,10800
