Timestamp,active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,tot_on_periods,on_seconds_ini,off_seconds_ini
2025-06-01 00:00:00,Header,0.02059,-0.00822,-0.04178,-0.09178,114.001,2,20,5380
2025-06-01 03:00:00,Header,0.07032,-0.00822,-0.04178,-0.09178,147.821,3,20,3580
2025-06-01 06:00:00,Header,-0.01633,0.04596,-0.09596,-0.14596,88.8933,2,20,5380
2025-06-01 09:00:00,Header,0.06427,0.04596,-0.09596,-0.14596,143.707,3,20,3580
2025-06-01 12:00:00,Header,-0.27348,0.012,-0.062,-0.112,1,0,0,10800
2025-06-01 15:00:00,Header,-0.25145,0.012,-0.062,-0.112,1,0,0,10800
2025-06-01 18:00:00,Header,-0.03554,-0.08911,0.03911,-0.01089,75.8358,2,20,5380
2025-06-01 21:00:00,Header,0.04471,-0.08911,0.03911,-0.01089,130.405,3,20,3580
