Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-07-04 00:00:00,-0.03573,1327.6,0,-0.00016,-2e-05,0,-0.0001,Low,False
2025-07-04 03:00:00,-0.04656,2349.29,1327.6,-0.00021,4e-05,6e-05,-0.0001,Low,False
2025-07-04 06:00:00,-0.04656,2349.29,2349.29,-0.00021,9e-05,0.00011,-0.0001,Low,False
2025-07-04 09:00:00,-0.06121,3729.96,2349.29,-0.00028,8e-05,0.00011,-0.0001,Low,False
2025-07-04 12:00:00,-0.06121,3729.96,3729.96,-0.00028,0.00015,0.00018,-0.0001,Low,False
2025-07-04 15:00:00,-0.09822,7219.47,3729.96,-0.00045,0.00013,0.00018,-0.0001,Low,False
2025-07-04 18:00:00,-0.3006763877239392,26308,26287.4,-0.00138,0.00112,0.00128,-9.9e-05,Low,False
2025-07-04 21:00:00,-0.17457838155204197,14419.1,15016.9,-0.0008,0.00064,0.00073,-9.9e-05,Low,True
