Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-05-30 00:00:00,-0.05328,2982.31,0,-0.00024,-3e-05,0,-0.0001,Low,False
2025-05-30 03:00:00,-0.05328,2982.31,2982.31,-0.00024,0.00012,0.00014,-0.0001,Low,False
2025-05-30 06:00:00,0.03932,3407.01,2982.31,0.00018,0.00017,0.00014,0.00018,No,False
2025-05-30 09:00:00,0.03932,3831.71,3407.01,0.00018,0.00019,0.00017,0.00018,No,False
2025-05-30 12:00:00,0.02375,4088.2,3831.71,0.00011,0.0002,0.00019,0.00011,No,False
2025-05-30 15:00:00,0.02375,4344.69,4088.2,0.00011,0.00021,0.0002,0.00011,No,False
2025-05-30 18:00:00,-0.07775,5289.65,4344.69,-0.00036,0.00017,0.00021,-0.0001,Low,False
2025-05-30 21:00:00,-0.07775,5289.65,5289.65,-0.00036,0.00022,0.00026,-0.0001,Low,False
