Timestamp,active,ch4_error,co2/ch4_error,c2/ch4-Trlow,co2/ch4_TrHigh,final_control_signal,tot_on_periods,on_seconds_ini,off_seconds_ini
2025-06-15 00:00:00,Header,0.1592,-0.01362,-0.03638,-0.08638,208.257,4,20,2680
2025-06-15 03:00:00,Header,0.12155,-0.01362,-0.03638,-0.08638,182.655,4,20,2680
2025-06-15 06:00:00,Header,0.04608,0.07061,-0.12061,-0.17061,131.338,3,20,3580
2025-06-15 09:00:00,Header,0.0628,0.07061,-0.12061,-0.17061,142.705,3,20,3580
2025-06-15 12:00:00,Header,-0.32297,0.02221,-0.07221,-0.12221,1,0,0,10800
2025-06-15 15:00:00,Follower,-0.10041,-0.11228,0.06228,0.01228,1,0,0,10800
2025-06-15 18:00:00,Follower,0.07323,-0.11228,0.06228,0.01228,1,0,0,10800
2025-06-15 21:00:00,Follower,0.15664,-0.11221,0.06221,0.01221,1,0,0,10800
