Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-06-26 00:00:00,0.02472,266.935,0,0.00011,1e-05,0,0.00011,No,False
2025-06-26 03:00:00,0.02472,533.87,266.935,0.00011,3e-05,1e-05,0.00011,No,False
2025-06-26 06:00:00,0.04119,978.734,533.87,0.00019,5e-05,3e-05,0.00019,No,False
2025-06-26 09:00:00,0.04119,1423.6,978.734,0.00019,7e-05,5e-05,0.00019,No,False
2025-06-26 12:00:00,-0.02287,115.547,1423.6,-0.0001,6e-05,7e-05,-0.0001,Low,False
2025-06-26 15:00:00,-0.16017,13060.8,13040.2,-0.00073,0.00055,0.00063,-0.0001,Low,False
2025-06-26 18:00:00,-0.16017,13060.8,13658.5,-0.00073,0.00058,0.00066,-0.0001,Low,False
2025-06-26 21:00:00,-0.03505,1263.92,13060.8,-0.00016,0.00062,0.00063,-0.0001,Low,False
