Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-06-03 00:00:00,-0.03147,926.186,0,-0.00014,-2e-05,0,-0.0001,Low,False
2025-06-03 03:00:00,-0.03147,926.186,926.186,-0.00014,3e-05,4e-05,-0.0001,Low,False
2025-06-03 06:00:00,0.07061,-473.376,926.186,0.00032,8e-05,4e-05,0.0003,High,False
2025-06-03 09:00:00,0.07061,-473.376,-473.376,0.00032,1e-05,-2e-05,0.0003,High,False
2025-06-03 12:00:00,0.02375,-216.882,-473.376,0.00011,-1e-05,-2e-05,0.00011,No,False
2025-06-03 15:00:00,0.02375,39.6123,-216.882,0.00011,0,-1e-05,0.00011,No,False
2025-06-03 18:00:00,-0.11032,8360.92,8340.31,-0.0005,0.00035,0.0004,-0.0001,Low,False
2025-06-03 21:00:00,-0.09863,7258.84,8360.92,-0.00045,0.00035,0.00041,-0.0001,Low,False
