Timestamp,error,integral,integral_past,u_p,u_i,u_i_past,control_signal,saturation,selection
2025-06-28 00:00:00,0.02472,266.935,0,0.00011,1e-05,0,0.00011,No,False
2025-06-28 03:00:00,0.02472,533.87,266.935,0.00011,3e-05,1e-05,0.00011,No,False
2025-06-28 06:00:00,0.02744,830.266,533.87,0.00013,4e-05,3e-05,0.00013,No,False
2025-06-28 09:00:00,0.02744,1126.66,830.266,0.00013,5e-05,4e-05,0.00013,No,False
2025-06-28 12:00:00,-0.02452,271.118,1126.66,-0.00011,4e-05,5e-05,-0.0001,Low,False
2025-06-28 15:00:00,-0.14394,11530.3,11509.7,-0.00066,0.00048,0.00056,-0.0001,Low,False
2025-06-28 18:00:00,-0.14394,11530.3,11921.9,-0.00066,0.0005,0.00058,-0.0001,Low,False
2025-06-28 21:00:00,-0.02406,228.061,11530.3,-0.00011,0.00055,0.00056,-0.0001,Low,False
